VAR	TIER	TOTAL_FILES	TOTAL_REFS	TOP_FILES
OPENAI_API_KEY	t1	7	8	C:/aoe-unified-final/lib/ai.js|c:/aoe-unified-final-main/bridgeaios/THE-BRIDGE-AI-OS-V0/src/ai-executor.js|C:/aoe-unified-final/api/platform.js
OPENAI_COMPAT_API_KEY	t1	1	1	c:/aoe-unified-final-main/services/config-advisor.js
OPENAI_COMPAT_BASE_URL	t3	1	1	c:/aoe-unified-final-main/services/config-advisor.js
OPENAI_COMPAT_MODEL	t3	1	1	c:/aoe-unified-final-main/services/config-advisor.js
OPENAI_MODEL	t3	1	1	c:/aoe-unified-final-main/services/config-advisor.js
OPENROUTER_API_KEY	t1	4	5	C:/aoe-unified-final/server.js|C:/aoe-unified-final/brain.js|c:/aoe-unified-final-main/bridgeaios/THE-BRIDGE-AI-OS-V0/src/ai-executor.js
OPS_DAEMON_PORT	t3	1	1	C:/aoe-unified-final/ops-daemon/index.js
ORCHESTRA_ADMIN_TOKEN	t1	2	2	c:/aoe-unified-final-main/routes/settings.js|c:/aoe-unified-final-main/server.js
ORCHESTRA_ALLOW_IFRAME	t3	1	1	c:/aoe-unified-final-main/server.js
ORCHESTRA_COOKIE_SECURE	t3	2	2	c:/aoe-unified-final-main/routes/settings.js|c:/aoe-unified-final-main/server.js
ORCHESTRA_RATE_LIMIT	t2	1	1	c:/aoe-unified-final-main/server.js
ORCHESTRA_SESSION_SECRET	t0	2	3	c:/aoe-unified-final-main/lib/session.js|c:/aoe-unified-final-main/tests/capability-auth.test.js
PAYFAST_CANCEL_URL	t3	2	2	C:/aoe-unified-final/server.js|C:/aoe-unified-final/lib/payfast.js
PAYFAST_ENABLE_IP_ALLOWLIST	t2	1	1	C:/aoe-unified-final/server.js
PAYFAST_IP_ALLOWLIST	t3	1	1	C:/aoe-unified-final/server.js
PAYFAST_MERCHANT_ID	t3	4	4	C:/aoe-unified-final/api/platform.js|C:/aoe-unified-final/server.js|C:/aoe-unified-final/lib/billing-activation.js
PAYFAST_MERCHANT_KEY	t3	4	4	C:/aoe-unified-final/api/platform.js|C:/aoe-unified-final/lib/payfast.js|C:/aoe-unified-final/server.js
PAYFAST_NOTIFY_URL	t3	2	2	C:/aoe-unified-final/server.js|C:/aoe-unified-final/lib/payfast.js
PAYFAST_PASSPHRASE	t3	5	7	C:/aoe-unified-final/api/platform.js|C:/aoe-unified-final/lib/payfast.js|C:/aoe-unified-final/server.js
PAYFAST_RETURN_URL	t3	2	2	C:/aoe-unified-final/server.js|C:/aoe-unified-final/lib/payfast.js
PAYFAST_SANDBOX	t2	2	2	C:/aoe-unified-final/lib/payfast.js|C:/aoe-unified-final/lib/billing-activation.js
